Timestamp,CPU%,MEMORY%,DISK%
2025-11-03 17:01:42,8.5,85.9,62.9
2025-11-03 17:01:44,5.1,85.9,62.9
2025-11-03 17:01:46,9.8,86.1,62.9
2025-11-03 17:01:48,13.9,85.8,62.9
2025-11-03 17:01:50,15.0,85.3,62.9
2025-11-03 17:01:52,8.9,85.1,62.9
2025-11-03 17:01:54,9.7,85.1,62.9
2025-11-03 17:01:56,10.0,84.8,62.9
